"","Station","Date","Daily Rainfall Total (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","LAT","LONG"
"1","Ang Mo Kio",2021-01-01,94.4,24,26.2,21.5,6.2,34.3,1.3764,103.8492
"2","Ang Mo Kio",2021-01-02,114.4,23,24.5,21.6,5.4,30.2,1.3764,103.8492
"3","Ang Mo Kio",2021-01-03,5.2,23.9,25.3,23.2,3.6,12.2,1.3764,103.8492
"4","Ang Mo Kio",2021-01-04,0,25.1,27.9,23.1,4.1,16.9,1.3764,103.8492
"5","Ang Mo Kio",2021-01-05,0,26.9,31.6,24.1,5.7,28.2,1.3764,103.8492
"6","Ang Mo Kio",2021-01-06,0,26.9,30.3,25.1,5.8,25.6,1.3764,103.8492
"7","Ang Mo Kio",2021-01-07,1.6,24.4,26,23.8,4.9,18,1.3764,103.8492
"8","Ang Mo Kio",2021-01-08,12.6,25.3,27.5,24,6,35.9,1.3764,103.8492
"9","Ang Mo Kio",2021-01-09,35.4,25.2,27.3,23.8,6.2,31.3,1.3764,103.8492
"10","Ang Mo Kio",2021-01-10,118.6,23.7,24.1,23.4,6.2,24.8,1.3764,103.8492
"11","Ang Mo Kio",2021-01-11,3.4,25.4,28.7,23.9,9.2,33.9,1.3764,103.8492
"12","Ang Mo Kio",2021-01-12,11.2,25.1,28.4,23.5,8.9,49.3,1.3764,103.8492
"13","Ang Mo Kio",2021-01-13,1.6,25.1,27.2,23.4,7.6,38.2,1.3764,103.8492
"14","Ang Mo Kio",2021-01-14,0,25.7,28.8,23.3,6.9,30.6,1.3764,103.8492
"15","Ang Mo Kio",2021-01-15,0,26.7,31.3,24.1,7.7,30.2,1.3764,103.8492
"16","Ang Mo Kio",2021-01-16,0,26.9,30.3,24.6,7.4,26.3,1.3764,103.8492
"17","Ang Mo Kio",2021-01-17,0,27,30.7,24.7,10.1,36.3,1.3764,103.8492
"18","Ang Mo Kio",2021-01-18,0,26.1,28.3,24.7,11.1,45.7,1.3764,103.8492
"19","Ang Mo Kio",2021-01-19,0,26.1,29.6,23.8,8.7,31.3,1.3764,103.8492
"20","Ang Mo Kio",2021-01-20,0,26.2,29.2,23.9,7.6,31.7,1.3764,103.8492
"21","Ang Mo Kio",2021-01-21,14.2,26.1,31.4,24,6.9,33.2,1.3764,103.8492
"22","Ang Mo Kio",2021-01-22,18,25.6,30.8,23.8,5.6,30.2,1.3764,103.8492
"23","Ang Mo Kio",2021-01-23,24.6,25.6,30.4,23.4,6.2,32.4,1.3764,103.8492
"24","Ang Mo Kio",2021-01-24,0,26.5,31.6,23.4,7.3,33.5,1.3764,103.8492
"25","Ang Mo Kio",2021-01-25,13,26.8,31.5,24.6,6.6,25.2,1.3764,103.8492
"26","Ang Mo Kio",2021-01-26,0,27.1,32,24.2,7.1,27.8,1.3764,103.8492
"27","Ang Mo Kio",2021-01-27,0,26.7,30.9,24.2,6.4,33.2,1.3764,103.8492
"28","Ang Mo Kio",2021-01-28,14.2,25.6,28.8,23.4,7.3,35.2,1.3764,103.8492
"29","Ang Mo Kio",2021-01-29,0,26.6,31.1,24,9.1,36.3,1.3764,103.8492
"30","Ang Mo Kio",2021-01-30,0,26.6,30.8,24.3,8.9,41.9,1.3764,103.8492
"31","Ang Mo Kio",2021-01-31,5.2,26.1,29.5,23.6,7.4,29.8,1.3764,103.8492
"32","Ang Mo Kio",2021-02-01,0,26.7,30.1,24.8,8.6,35,1.3764,103.8492
"33","Ang Mo Kio",2021-02-02,0,26.8,30,25.1,9.1,34.3,1.3764,103.8492
"34","Ang Mo Kio",2021-02-03,0,26.9,30.9,24.9,9.1,36.3,1.3764,103.8492
"35","Ang Mo Kio",2021-02-04,0,26.6,31,24,9.3,39.3,1.3764,103.8492
"36","Ang Mo Kio",2021-02-05,0,27,31.8,24.1,8.4,34.6,1.3764,103.8492
"37","Ang Mo Kio",2021-02-06,0,27.3,31.3,24.9,9.2,36.3,1.3764,103.8492
"38","Ang Mo Kio",2021-02-07,0,27.5,32.6,24.5,8.7,32.4,1.3764,103.8492
"39","Ang Mo Kio",2021-02-08,0.8,27.2,32,24.9,8.6,36.7,1.3764,103.8492
"40","Ang Mo Kio",2021-02-09,4.2,27.3,32.4,24.8,7.1,26.3,1.3764,103.8492
"41","Ang Mo Kio",2021-02-10,2.2,27,30.7,24.9,7.4,27.8,1.3764,103.8492
"42","Ang Mo Kio",2021-02-11,0.2,27.4,32.1,24.5,7.7,26.3,1.3764,103.8492
"43","Ang Mo Kio",2021-02-12,6.6,26.8,30.7,24.9,7.7,31.3,1.3764,103.8492
"44","Ang Mo Kio",2021-02-13,2.6,27.1,31.9,24.8,7.8,31.3,1.3764,103.8492
"45","Ang Mo Kio",2021-02-14,0.6,26.7,30.7,24.7,8.1,32.4,1.3764,103.8492
"46","Ang Mo Kio",2021-02-15,0,26.8,31,24.2,8.7,37.4,1.3764,103.8492
"47","Ang Mo Kio",2021-02-16,0,26.6,31,23.9,8.2,32,1.3764,103.8492
"48","Ang Mo Kio",2021-02-17,0,26.7,31.2,23.7,8.8,32.8,1.3764,103.8492
"49","Ang Mo Kio",2021-02-18,0,26.5,31.3,23.1,10.8,37.8,1.3764,103.8492
"50","Ang Mo Kio",2021-02-19,0,26.6,30.2,24.2,10.9,41.1,1.3764,103.8492
"51","Ang Mo Kio",2021-02-20,0.2,26.6,30.4,24.5,10.2,41.5,1.3764,103.8492
"52","Ang Mo Kio",2021-02-21,0,26.8,31.1,24.3,9,33.2,1.3764,103.8492
"53","Ang Mo Kio",2021-02-22,0,26.8,31.5,24.1,8.5,32.4,1.3764,103.8492
"54","Ang Mo Kio",2021-02-23,0,26.8,32.8,23.7,7.5,29.1,1.3764,103.8492
"55","Ang Mo Kio",2021-02-24,0.4,26.5,30.8,23.8,6.2,25.2,1.3764,103.8492
"56","Ang Mo Kio",2021-02-25,0.2,27.6,33.4,24,6.5,32.4,1.3764,103.8492
"57","Ang Mo Kio",2021-02-26,0,28.4,35.5,24.4,5.8,24.1,1.3764,103.8492
